,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0,noise,cubrow.0.3,cubrow.0,cubcol.0.3,staticness,tone,uhdhdsim,blockiness,fft,color_fulness,contrast,cubrow.0.6,cubrow.0.5,temporal,cubcol.1.0,cubcol.0.6,saturation,blur,cubrow.1.0,movement,cubcol.0.5
45,45,51.2868,11.1085,53,18.5218,0,92,123,14,128,8,0.99952,49.44702,0.0,0.0,0.10714,5.031,9.182,0.0,0.0,122.0,33.94611,0.00106,0.42,1.234,-1.0,0.631282,0.11933728327838529,0.5454819128308472,0.09276287190001357,0.0898937525072995,0.15848665428454795,191.885904238543,0.483401568627451,85.8239654181498,1.6666057703763713,72500.48670904963,153.79349288851543,89.02182778829594,0.11865947214018537,0.16581592903258613,4.047910292879219,0.07123032484964857,0.12381054979207623,36.58574836636767,17948.382090432024,0.059706963406806965,8.299430941358025,0.14114913251478137
46,46,51.5493,11.4863,53,19.2611,0,93,123,14,128,8,0.99241,49.73038,0.0,0.0,0.0,5.096,9.53996,0.0,0.0,124.0,33.99101,0.00114,0.42,1.297,-1.0,0.581302,0.11809622181714213,0.5537582058963683,0.09303593635306723,0.09175600378794686,0.15698778393870141,191.77936939775068,0.4839749019607844,85.78421660725633,2.9048792373828918,72497.09342563775,154.26806059037787,91.61223834307145,0.11884443935961274,0.16619585690218178,3.987037534297504,0.07107936484545163,0.1231574542913921,36.61987643771701,18360.55514354826,0.05943526017659263,8.378279320987655,0.14178063680662947
47,47,51.901,12.6156,53,19.8108,0,93,123,14,127,8,0.99902,50.05742,0.0,0.0,0.14286,5.134,9.86522,0.0,0.0,128.0,33.94627,0.00098,0.42,1.347,-1.0,0.601582,0.11747647024971454,0.5515405798531393,0.09356547837204085,0.09412871481991966,0.1556333788662004,191.68820320164957,0.4834015686274511,85.81737480624845,1.8716943364111078,72488.8407067458,154.62993344147625,92.19841931239034,0.11891580315969903,0.1663614534890799,4.084809272814031,0.0709846493192991,0.12249279844000302,36.49273097662278,18835.48878257654,0.059687822366372836,8.603153935185185,0.14227403708517664
48,48,52.2818,13.0801,54,21.5336,0,93,123,14,127,8,1.0042,50.41561,0.0,0.0,0.5,5.174,10.84225,0.0,0.0,129.0,33.8903,0.00101,0.42,1.283,0.12937,0.607905,0.1187440218792953,0.555975831939597,0.09424360352908419,0.09615927171876246,0.15396566369516343,191.62225743089377,0.4836992156862745,85.74562774016161,1.84717995586719,72913.70498166062,154.7787131413611,92.53061244753637,0.11892834603200028,0.1663010410311171,4.209671683195538,0.07074056697496323,0.12330480325438024,36.56047886977961,19513.606300886957,0.06050613331223006,8.969184027777779,0.14258870906910248
49,49,52.5512,13.7143,54,21.6697,0,93,123,14,127,8,1.00797,50.6584,0.0,0.0,0.0,5.094,11.23571,0.0,0.0,129.0,33.80517,0.0011,0.42,1.384,-1.0,0.584716,0.1220771799173792,0.5559758319396,0.09418398843991259,0.0979145377740121,0.15281629343777434,191.53863499346548,0.4834015686274511,85.64435229060092,1.595714905746229,73527.2920183218,155.09900347859028,92.22375300026697,0.11909814940685483,0.16644121876339601,4.125870068172826,0.07036858420283192,0.12303958450406044,36.49782986111111,19981.765798220487,0.06077786310876536,9.408275462962964,0.14243992795712215
50,50,52.6487,14.5555,53,22.9112,0,93,123,14,127,8,1.0114,50.72885,0.0,0.0,0.17857,5.054,11.78705,0.0,0.0,128.0,33.69128,0.0012,0.42,1.299,-1.0,0.568669,0.12556187741605826,0.5515405798531433,0.09389992791866499,0.09888563984736487,0.15117017096072724,191.42983137512655,0.4842427450980392,85.72131691672637,2.074865665395821,73686.2957842238,154.57760295749856,91.53273241903487,0.11922851454248207,0.16671021106125414,4.298155696721714,0.06985034299236238,0.12239332893429196,36.740489630051606,20229.269796718076,0.06068315777167251,10.168065200617283,0.1425148514908353
51,51,52.589,14.4714,53,23.3901,0,92,123,14,128,8,1.00035,50.62873,0.0,0.0,0.35714,5.144,12.51301,0.0,0.0,128.0,33.52539,0.0011,0.42,1.393,-1.0,0.568288,0.12846201457881312,0.5493229538099103,0.09404778876392283,0.10104696908535714,0.14972073484727724,191.2919470995274,0.48454039215686284,85.73775854404046,1.6064316006953527,73522.68828609872,154.33817550740437,91.34317091213394,0.11932806243773184,0.16700914247219642,4.360857063843725,0.06953010210470775,0.12156852561327193,36.45637662911121,20093.458831080752,0.06058483125529219,10.877314814814815,0.14267273691640828
52,52,52.713,15.1618,53,24.3025,0,92,123,14,128,8,1.01435,50.70076,0.0,0.0,0.42857,5.138,12.44815,0.0,0.0,128.0,33.4168,0.00115,0.41,1.369,-1.0,0.587659,0.130173609323715,0.5493229538099094,0.09428902290373829,0.10367271007729863,0.14831914608779337,191.1694498169989,0.48454039215686284,85.70809129786427,1.5525905700099847,73722.20916672889,154.21839053085574,92.32179039996966,0.11940724097930396,0.16724635441596544,4.402489931734385,0.06935065368318509,0.12076741658246606,36.671912299262154,20328.67698233568,0.060723158536972896,11.287085262345679,0.1427844448048147
53,53,52.5195,15.7323,53,24.0577,0,92,123,14,128,8,1.00656,50.5038,0.0,0.0,0.10714,5.133,13.03645,0.0,0.0,129.0,33.3104,0.0011,0.41,1.404,-1.0,0.61589,0.1320986155690345,0.5476995388740762,0.0943593200846781,0.10510135030501443,0.14694633367660043,191.06406638335665,0.48454039215686284,85.72735650058897,1.664164619058363,73702.79393956647,154.55963343708072,92.50173732636038,0.11946106779751317,0.16750057036458904,4.47864436733755,0.06916306261051147,0.12005023787974327,36.66694094810957,20342.20742453846,0.06132258181199928,11.475742669753087,0.1427988510573482
54,54,52.4131,16.5036,53,26.4972,0,92,123,14,128,8,1.00785,50.42358,0.0,0.0,0.03571,5.205,13.52352,0.0,0.0,128.0,33.41583,0.00101,0.41,1.373,-1.0,0.592557,0.13492333042538576,0.5515405798531355,0.09440781041923213,0.10555997296595798,0.14561122289987652,190.9776761975964,0.48454039215686284,85.72965821605777,2.3582007608157314,73751.56698650923,154.36837969991876,92.47014991816505,0.11952289374129411,0.16776997684168088,4.519820088277988,0.06917899203476242,0.11943357973939679,36.7541328712746,20261.608927639645,0.06164804618927614,11.377555941358025,0.14300253984498612
55,55,52.5417,16.4144,53,27.3471,0,93,123,14,128,8,1.0148,50.61339,0.0,0.0,0.03571,5.227,14.18816,0.0,0.0,129.0,33.82845,0.00093,0.42,1.279,-1.0,0.565501,0.13543739957038983,0.5515405798531451,0.09435045520923889,0.1076800463881037,0.14431783322421335,190.92218910311925,0.48675764705882363,85.77058779042447,2.1956692818989842,73923.51603090913,154.7346168867599,92.53264753433251,0.119514937172902,0.16819258045653673,4.557672166655221,0.06933321004125093,0.11890978198856403,36.98851314591773,20469.92517715186,0.0619599706476863,11.45384837962963,0.14283168659248224
56,56,52.7271,15.5509,54,27.5961,0,93,123,14,128,8,0.9883,50.72693,0.0,0.0,0.10714,5.177,14.09862,0.0,0.0,129.0,33.64731,0.00102,0.41,1.44,0.13092,0.575699,0.13696002120739492,0.5493229538099101,0.09455963367993986,0.1086477080497624,0.14313489791401204,190.8467121120389,0.485641568627451,85.7935111117477,2.8217937305398224,73929.91609691012,154.6081336985389,92.02468009188901,0.1194917912526465,0.16846384273779902,4.572161521215129,0.06946596654314988,0.1183533444032492,36.84341317635995,20741.1617094424,0.062015713975247085,11.180555555555555,0.14259519791711808
57,57,52.6758,15.3107,53,27.9594,0,93,123,14,127,8,1.00748,50.64945,0.0,0.0,0.0,5.202,13.35634,0.0,0.0,128.0,33.70646,0.00107,0.42,1.28,-1.0,0.568953,0.13926410293151414,0.547699538874076,0.09431169530044016,0.10998156469420263,0.1423861441843994,190.76901789111648,0.4848380392156864,85.76363614739972,1.9562917212072237,74263.59336153501,154.8723337896953,92.94092122856512,0.11935508272756505,0.16864138944680873,4.526868447088208,0.06964898307064181,0.11789817001780355,36.72746785481771,20649.034620056605,0.06324567834435366,11.151234567901234,0.1423170663818059
58,58,53.0363,15.5818,54,27.8452,0,93,123,14,128,8,0.99971,51.0126,0.0,0.0,0.39286,5.17,13.14967,0.0,0.0,127.0,33.8128,0.00099,0.42,1.416,-1.0,0.558787,0.141277299757722,0.5515405798531398,0.09415471489711122,0.11145997426148528,0.1411820865276702,190.6999792986593,0.48620705882352944,85.70687673220128,2.620577885914161,74333.82607234044,154.88348626371177,91.9423915089211,0.11918842527857085,0.16895166190347902,4.561677497173618,0.0698520976214805,0.11749747034375144,36.5963404149185,21160.488683699085,0.06355285268221061,11.100453317901234,0.14219448625394404
59,59,53.1838,15.6651,54,27.9164,0,93,123,14,128,8,1.00276,51.18288,0.0,0.0,0.14286,5.238,13.38215,0.0,0.0,127.0,33.74473,0.00084,0.42,1.223,-1.0,0.568038,0.14429715042827657,0.5515405798531428,0.09396810213659289,0.11292005782037483,0.14001696934985003,190.6368281243062,0.48451058823529414,85.66177038325475,2.4736250529763066,74004.88754741928,154.7597868270398,92.21157825698612,0.11908138923098939,0.1693705465383009,4.493425606576965,0.06997768243144434,0.11744327737500275,36.3567369249132,21237.142706273036,0.06409822690388449,10.982301311728396,0.14243981653984447
60,60,53.4345,16.1155,55,28.5469,0,93,123,14,128,8,1.02207,51.48583,0.0,0.0,0.10714,5.213,13.45654,0.0,0.0,128.0,33.87597,0.0011,0.42,1.401,-1.0,0.552439,0.14857266226764335,0.5559758319396005,0.0938459921598226,0.11318314672809254,0.13850603252631977,190.6109952436527,0.4856486274509805,85.56549196503893,2.272453805761156,74226.07027094679,154.76325239188796,92.40829544293881,0.11903158665722077,0.16966443840906326,4.596542640970189,0.0700362853497111,0.11753561622345715,36.78578148359134,21155.661556940064,0.06462851887250076,11.123939043209877,0.14284602992694012
61,61,53.4039,15.646,54,25.7624,0,93,123,14,128,8,1.02015,51.45256,0.0,0.0,0.14286,5.249,13.83933,0.0,0.0,127.0,33.8395,0.00121,0.42,1.349,-1.0,0.567149,0.15158952006697712,0.5559758319395988,0.09348779743323234,0.11518040667745237,0.13777249779839695,190.57654213598914,0.4856337254901961,85.62130204054247,2.5008445624481284,74043.33211304912,154.60581187379347,92.65814063993834,0.1191365659525918,0.1702295232054955,4.44963730199907,0.07014689896463595,0.1178454917546114,36.38890433605806,21220.093090021008,0.06502656877557199,10.941792052469136,0.14352895186556397
62,62,53.2444,15.9087,55,26.7782,0,93,123,14,128,8,1.0251,51.33217,0.0,0.0,0.0,5.196,13.44317,0.0,0.0,127.0,33.78381,0.00118,0.42,1.216,-1.0,0.558071,0.15377095075274033,0.5598168729186636,0.09343113409277715,0.11735619108206025,0.13664506979281194,190.5556707155105,0.4850071764705878,85.55600593247085,2.7286444276112864,73989.69570443951,154.91485564536495,90.86869241671648,0.1192080259753193,0.1705786138279229,4.500973152948112,0.07031208728602274,0.11774495635645059,36.59799966694396,20910.776480667017,0.06547686825296414,10.780478395061728,0.1441673115319221
63,63,53.3567,16.0345,55,25.8752,0,93,123,14,128,8,1.01478,51.50406,0.0,0.0,0.07143,5.263,13.67391,0.0,0.0,128.0,33.92379,0.00117,0.42,1.316,-1.0,0.541183,0.1557801324106772,0.5598168729186642,0.09351387630326422,0.11965387636106488,0.1340628634900172,190.52301059428046,0.4853282352941177,85.57918184387427,2.8259005375953277,73923.86293153671,154.7622886858624,92.9915085666616,0.11929175454053233,0.17090137680154988,4.376565875712912,0.07046217119892047,0.11703322967510472,36.620327419704864,20925.81567412109,0.06553334661903716,10.732397762345679,0.14405470963950828
64,64,53.4435,16.0318,55,26.3471,0,93,123,15,128,8,1.00702,51.56934,0.0,0.0,0.07143,5.229,13.77308,0.0,0.0,127.0,33.83431,0.00092,0.42,1.332,0.13053,0.585546,0.15628138815615453,0.5575992468754334,0.09351096712251393,0.12219905640602126,0.1328288948327227,190.49274639608865,0.4847627450980393,85.64107573716753,3.5642910328735313,73928.96899364653,154.753401482815,89.66242061632107,0.11926865423834224,0.1712499084549614,4.454767020021911,0.07050952934689919,0.1168337213247871,36.54890046296296,21060.65694528986,0.0659550272454587,10.835792824074074,0.14416752262571894
65,65,53.7148,15.802,55,26.0185,0,93,123,15,128,8,1.0033,51.7946,0.0,0.0,0.5,5.217,13.77229,0.0,0.0,128.0,33.79757,0.00121,0.42,1.272,-1.0,0.565258,0.15804294068224697,0.5598168729186662,0.09336230098974689,0.12449350726127263,0.13079187434688774,190.47209706277516,0.4833937254901961,85.56108943491843,1.957301316591657,74037.3156207128,154.66267976054434,93.00829734162969,0.11934161410010356,0.1712997038074123,4.6060362070759995,0.07053384685131396,0.1163281548218684,36.570125815309126,21616.704942197906,0.0662361828219457,10.944637345679013,0.14458674270114752
66,66,53.624,15.9118,55,24.9822,0,93,123,14,128,8,1.01459,51.71274,0.0,0.0,0.21429,5.244,13.5726,0.0,0.0,128.0,33.7963,0.00106,0.42,1.366,-1.0,0.601454,0.15959159366569722,0.5575992468754335,0.092980420583239,0.12597953226481598,0.12891985787383672,190.45316194670033,0.4828580392156862,85.54413840630994,2.062986970131946,74124.74171920713,154.84306769141915,92.72642926236695,0.11941540061333701,0.17142422975832167,4.353285711134463,0.07064700366175061,0.11573246404037417,36.52710921676071,21461.468274135914,0.06674591497946039,10.838204089506172,0.1451350961509436
67,67,53.4838,15.7174,55,25.7266,0,93,123,14,128,8,0.99839,51.55321,0.0,0.0,0.21429,5.281,13.66642,0.0,0.0,127.0,33.71647,0.00102,0.41,1.299,-1.0,0.622244,0.1619748437063292,0.553758205896378,0.09248196460861821,0.12735302040886776,0.12590613216448637,190.4328437605145,0.4823003921568629,85.65796287630768,2.3256000511835184,73803.6856942996,154.90238394396556,92.51444619393918,0.11952757017521558,0.1714252883429174,4.357257877691629,0.07079556440986012,0.11539430674390404,36.39823649842062,21540.70175854539,0.06748596115578552,10.729070216049383,0.14483144159748296
68,68,53.4586,15.5341,55,25.9771,0,93,123,14,128,8,0.98501,51.52673,0.0,0.0,0.35714,5.257,13.50231,0.0,0.0,126.0,33.69438,0.00104,0.42,1.428,-1.0,0.626518,0.1633830987636813,0.5515405798531418,0.09275079443088069,0.12823795072937924,0.12472539418535436,190.4271082950738,0.48138392156862736,85.68647247611692,2.3606279879191523,74002.12971149589,154.87807267765385,92.69456048591971,0.11978912808683503,0.17106391788079053,4.424483150716857,0.07088736864100845,0.11493728463708551,36.47888127079717,21895.55958307543,0.06774777434813109,10.760223765432098,0.14400661938474207
69,69,53.6995,14.6968,55,26.0601,0,93,123,14,128,8,0.99093,51.73513,0.0,0.0,0.21429,5.211,13.34163,0.0,0.0,127.0,33.77391,0.00114,0.41,1.337,-1.0,0.637473,0.16442602638812248,0.5556573951668772,0.092894157543288,0.12953184446249094,0.12313935562242966,190.42116753065525,0.48115372549019597,85.59100863397256,2.3989757730589676,73959.82772840792,154.73330915953733,92.9137515922509,0.12004527800131724,0.1705198196032848,4.487096859506673,0.07098193757316262,0.11475205933461383,36.28720865131896,22121.745448391895,0.06782672924313513,10.73779899691358,0.1429575122745824
70,70,53.9029,14.8599,55,24.3533,0,93,123,15,127,8,1.01214,51.88539,0.0,0.0,0.10714,5.143,12.62116,0.0,0.0,126.0,33.80892,0.00093,0.41,1.359,-1.0,0.615645,0.16624431621742503,0.5537582058963693,0.09283664041053658,0.13181046747458813,0.12192253075927845,190.41690720741067,0.48086392156862756,85.5294416152982,3.2702080513066174,74029.08475321032,154.87220308257528,91.65127662491459,0.12024439334865265,0.17028225716349607,4.269477558818783,0.07085548079199736,0.11451866844011745,36.22072742603443,22334.81435810178,0.0678251985856678,10.535734953703704,0.14258781494561557
71,71,53.9655,14.3128,55,26.271,0,93,123,14,127,8,1.00474,51.94112,0.0,0.0,0.0,5.171,12.75604,0.0,0.0,125.0,33.89755,0.00117,0.42,1.413,-1.0,0.659198,0.16719771513855647,0.5553816208322,0.09225191546900524,0.13304655639950372,0.12217281040734583,190.42592318652473,0.4797172549019608,85.50530045096069,2.5070504867623638,74124.34954891533,154.95202754854,92.44682234588149,0.12043369983381502,0.17020351403963285,4.368113959157337,0.0706826816422759,0.11455413050570683,36.39850437493972,22510.91488258364,0.06819164325946883,10.630304783950617,0.14200063228789328
72,72,54.026,14.3697,55,22.5247,0,93,123,14,128,8,1.00433,51.99141,0.0,0.0,0.0,5.171,12.28539,0.0,0.0,126.0,33.97259,0.00099,0.42,1.328,0.13156,0.611473,0.17004652472093504,0.5559758319396001,0.09170860746251752,0.1359085886851775,0.11946784456331386,190.43074130345363,0.47977058823529417,85.47281106042156,3.30126351887896,74470.27817465959,154.615022486913,92.38327605441617,0.12075995811809355,0.17004121872189648,4.221938895373242,0.07062018142676685,0.1161197874620797,36.19569999789014,22700.710295720266,0.0679524731445517,10.272038966049383,0.14130122513367213
73,73,53.8072,14.3873,55,22.1908,0,93,123,15,128,8,1.00652,51.79114,0.0,0.0,0.14286,5.177,12.33801,0.0,0.0,127.0,33.96289,0.00107,0.41,1.429,-1.0,0.624169,0.171504922103492,0.5559758319395979,0.09160955308967343,0.13830454035480497,0.11717539976286188,190.42755036906016,0.4783639215686275,85.49241417820491,3.4354793274113047,74019.21456802948,154.66963974044796,92.91174424439332,0.12087962646645026,0.1697474193753609,4.23833432476819,0.07062283247246778,0.11671147135047663,36.03708695776668,22481.57779500171,0.06770418159172992,10.086226851851851,0.14098620860278524
74,74,53.6383,14.3062,55,22.5129,0,94,123,14,128,8,1.00851,51.64076,0.0,0.0,0.17857,5.297,12.35653,0.0,0.0,127.0,33.99617,0.00097,0.42,1.436,-1.0,0.677418,0.17445933883170212,0.5493229538099115,0.09186017867578333,0.14040731123253913,0.1168005533331631,190.4258211736904,0.4783639215686275,85.58274245412564,2.180474420277757,73812.70162844437,154.49844224941646,92.78217122071118,0.1211129564126177,0.16967441951878184,4.285763762298917,0.07060030184865856,0.1171868304337287,36.09455419469762,22214.049121593507,0.06775755734269265,10.045090663580247,0.1415311650841068
75,75,53.9109,14.7785,55,22.4363,0,94,123,15,128,8,0.98474,51.87064,0.0,0.0,0.0,5.254,12.2867,0.0,0.0,128.0,33.98021,0.00114,0.41,1.361,-1.0,0.683788,0.1762496041225489,0.5553816208321994,0.09115546804015243,0.1427245872521063,0.115559814434097,190.41935956126696,0.47892941176470594,85.52431996730334,3.13489843965796,74039.44357161188,154.50915398464034,92.59101384738231,0.12134140793277313,0.1696191776487008,4.131042540846056,0.0705334426171165,0.11754615128628226,35.99479147828655,22446.86896027927,0.06794603527473406,9.872636959876543,0.14034285777063174
76,76,53.4154,15.006,54,26.7795,0,94,123,14,128,8,1.00962,51.41579,0.0,0.0,0.21429,5.294,12.69257,0.0,0.0,126.0,33.9937,0.00121,0.41,1.398,-1.0,0.630136,0.1766311738785897,0.5493229538099104,0.09129112632020096,0.14568411943867585,0.11390623397004308,190.42398319043562,0.47892941176470594,85.7492726951013,3.280332464122602,74030.89420659846,154.4525023950265,92.68326824220034,0.12115349744831559,0.16925448087612271,4.543978910774541,0.07042862974697009,0.11768071799983794,35.928101339457946,21970.356156319438,0.0680468246608989,9.557291666666666,0.14008534560890615
77,77,53.709,14.3281,55,25.2604,0,94,123,14,127,8,1.02223,51.71635,0.0,0.0,0.10714,5.266,12.88975,0.0,0.0,125.0,34.03333,0.00117,0.42,1.285,-1.0,0.643012,0.17813408467843528,0.551540579853142,0.09151518051195341,0.1474338961650032,0.11201123700492664,190.41778266580877,0.4783639215686275,85.536954764286,2.181560978499311,74208.93304299492,154.31759472031624,91.24786275776317,0.12118472657135121,0.169422491072822,4.550174014077349,0.07025497574295889,0.11777638263517995,35.809533955138406,22111.46100117348,0.06814873269801285,9.190586419753087,0.139864735038419
78,78,53.6232,14.0121,54,23.923,0,94,123,14,128,8,1.00338,51.64302,0.0,0.0,0.21429,5.418,12.30703,0.0,0.0,125.0,33.97049,0.0013,0.42,1.276,-1.0,0.652381,0.1797593913075188,0.5515405798531392,0.09125824948838306,0.14853932839245365,0.10996777184643677,190.4204552801352,0.4783639215686275,85.60513547809694,1.7888568091353099,73506.87214059864,154.44367182836496,92.80621691118293,0.12120508423874499,0.1698772728696647,4.27721173804356,0.0700839687054511,0.11742631989877514,36.05588314857012,21887.717302779874,0.06815307145850855,8.920669367283951,0.14001025672338777
79,79,53.814,14.5225,55,21.7768,0,94,123,15,128,8,0.99791,51.83069,0.0,0.0,0.0,5.403,12.03237,0.0,0.0,125.0,33.95862,0.00126,0.42,1.289,-1.0,0.644776,0.18192501823845605,0.5515405798531422,0.09090383588953646,0.1498691779413884,0.1103572712986133,190.41563462934477,0.4783639215686275,85.5556392317115,2.3868208648808986,73497.08319317612,154.39798598744073,92.44446490748072,0.12097818350674944,0.17036703447624715,4.092177174848347,0.06990770901763141,0.1175165990391498,35.77687562542197,21810.044854380758,0.06823300260677108,8.884452160493828,0.14055393222458734
80,80,53.8886,14.2439,55,23.4354,0,94,123,15,127,8,0.99356,51.90066,0.0,0.0,0.14286,5.332,12.47844,0.0,0.0,127.0,33.9391,0.00122,0.42,1.45,0.13079,0.679749,0.1821906099597597,0.5553816208322016,0.09074349262561916,0.1519400103363235,0.10834871915224782,190.40620251447586,0.4783639215686275,85.57456277784219,2.795040559840301,73604.94796306486,154.40538515972352,92.89780260347912,0.1207520292790957,0.1709784754382685,4.300278800536737,0.0697819370611186,0.11752991035930051,35.65106690960166,21764.91551431083,0.06824263243620966,8.745225694444445,0.14002080484760782
81,81,53.5233,14.0756,54,24.3481,0,94,123,15,128,8,0.99612,51.57494,0.0,0.0,0.0,5.303,12.23411,0.0,0.0,126.0,33.92151,0.00118,0.42,1.591,-1.0,0.656745,0.18263890298342148,0.5515405798531412,0.09074468900425722,0.15329787646528728,0.10546748479798825,190.39721046262284,0.4783639215686275,85.734082923617,1.9735815622345236,73860.66271696475,154.29918750448695,92.93408861847333,0.12053648918871014,0.1715650909406934,4.376364297126389,0.069700957817809,0.11758202716956002,35.633214503158754,21512.260494700564,0.06817167316026022,8.777391975308642,0.13927749267428263
82,82,53.8898,13.5488,55,25.0455,0,94,123,15,127,8,1.0053,51.91441,0.0,0.0,0.35714,5.289,12.09205,0.0,0.0,125.0,33.88727,0.0013,0.42,1.526,-1.0,0.662243,0.18352314264380457,0.5515405798531464,0.09075935292722934,0.15490790960566045,0.10384233284707592,190.38607484127593,0.4781188235294118,85.49604114821247,2.3367863582463886,73756.37503939826,154.2328430412628,92.29674217090859,0.12040412547802837,0.1720853296091491,4.323002806668173,0.06963892391981619,0.11710787814189436,35.480942149221164,21986.07537435786,0.06848635720673724,8.774257330246913,0.1397764959479057
83,83,53.8437,13.4636,55,22.1257,0,94,123,15,127,8,0.99606,51.90181,0.0,0.0,0.0,5.326,11.6405,0.0,0.0,126.0,33.88455,0.00137,0.42,1.535,-1.0,0.653701,0.1875662250406056,0.5559758319395995,0.09115957692090687,0.1562987762357585,0.10331798869381036,190.3650512415343,0.4777905882352942,85.50201551488155,2.5784184288614442,73810.13459211278,154.2920505447484,92.77841920611378,0.12032813874786043,0.17252909975767017,4.150708193112644,0.06965662920932637,0.11654193940070792,35.38022717134452,21816.204111561066,0.06851647273741122,8.779947916666666,0.13951339066329094
84,84,53.9186,13.2176,55,20.7495,0,94,123,15,127,8,1.00038,51.94221,0.0,0.0,0.10714,5.288,11.56775,0.0,0.0,126.0,33.83652,0.00128,0.42,1.769,-1.0,0.635789,0.1892257027859967,0.5559758319395992,0.09170293925130714,0.15770105254181152,0.09936788441629779,190.35352172995573,0.47748509803921574,85.52122454014403,2.690940217629993,73911.24075836941,154.4014995888578,92.79462493179659,0.12040238603681655,0.1727258449209453,4.175481897997417,0.06967640744359455,0.11574265477154233,35.5307871500651,22141.66277964248,0.06913825907354218,8.79933449074074,0.1397611753875844
85,85,53.7781,13.7872,55,22.0907,0,94,123,15,127,8,1.01972,51.81604,0.0,0.0,0.07143,5.322,11.35358,0.0,0.0,126.0,33.82943,0.00133,0.42,1.72,-1.0,0.659188,0.19276529880297077,0.5515405798531415,0.09185410245718678,0.15921732178058798,0.0989524275041366,190.32833478934802,0.47748509803921574,85.58253789808673,2.755125379453461,73933.80418697801,154.26055486102354,92.67971442744268,0.12056204648225696,0.1728826683870461,4.108629776229209,0.06971244521179563,0.11506336628196331,35.167380062150364,22088.16453660179,0.06906011560671661,8.841820987654321,0.1398657182249219
86,86,53.6056,13.9781,55,22.9637,0,94,123,15,127,8,0.99217,51.6885,0.0,0.0,0.25,5.333,11.85197,0.0,0.0,127.0,33.8332,0.00116,0.42,1.513,-1.0,0.62872,0.19480925254704853,0.5521347909605397,0.0924154842175457,0.16059059251186797,0.09546331812559793,190.31337512979007,0.47722509803921576,85.71643463215759,2.5584155243878963,73955.79845490133,154.26622594880916,93.00013590821914,0.12092886907453758,0.17294622323024064,4.3128458477948834,0.06967718143372748,0.11514285062726955,35.43571472167969,21811.23363862129,0.06928993473860658,8.99633487654321,0.13992654373608704
87,87,53.5539,13.4823,55,23.8536,0,94,123,15,127,8,0.99371,51.63022,0.0,0.0,0.39286,5.347,12.0145,0.0,0.0,126.0,33.86835,0.00123,0.42,1.487,-1.0,0.647551,0.19738461674823277,0.5559758319395991,0.09280441781064906,0.16248618979371632,0.09325275157483878,190.28760798579836,0.47722509803921576,85.70352996892196,1.9772061125803484,74073.70361924234,154.32634548581152,93.09275100050978,0.12121863641977973,0.17309940081217126,4.480078933800879,0.06958238867990874,0.11538186244309259,35.23110943076052,21839.018604930403,0.06939950515786425,9.039448302469136,0.1397873934210935
88,88,53.9918,13.7086,55,23.1883,0,94,123,15,127,8,1.00096,52.02566,0.0,0.0,0.10714,5.323,11.59137,0.0,0.0,127.0,33.96439,0.00114,0.42,1.449,0.13194,0.642512,0.19909964915506428,0.5521347909605406,0.09309394364382687,0.16453366653188328,0.0909795224181634,190.27334943312056,0.4769949019607844,85.5907389500918,2.3066770791312496,74097.17890109832,154.1377534620998,92.7382221888268,0.12161369782003395,0.17333925011585305,4.167877158270148,0.06946947302831938,0.11570352840159918,35.09929873619551,22252.379513026724,0.06960035613964953,8.973861882716049,0.13966457515233457
89,89,53.6215,13.7248,55,22.0735,0,94,123,15,127,8,1.00906,51.68989,0.0,0.0,0.10714,5.388,11.78649,0.0,0.0,128.0,34.03111,0.00116,0.42,1.484,-1.0,0.621212,0.20195866530302356,0.5515405798531399,0.09321852465056259,0.1662659662364232,0.0874866350658898,190.2511241917577,0.47672274509803925,85.67849267001165,3.6371884350744206,73957.97211362529,154.14008749276573,92.09106258746084,0.12221370083121673,0.1735875920262696,4.3320227978795005,0.06929355576334277,0.11571946089643291,35.06250452112268,21801.523349530453,0.06966698461523231,8.896026234567902,0.13958496269062148
90,90,53.7984,12.9586,55,21.9958,0,94,123,15,127,8,0.99943,51.82362,0.0,0.0,0.17857,5.403,11.79767,0.0,0.0,128.0,34.10841,0.00133,0.42,1.656,-1.0,0.672462,0.20330248388722827,0.5559758319395941,0.09377058521053441,0.16700848191803086,0.08631400905273494,190.22634133007767,0.4780960784313726,85.63883861669066,2.582576870367141,74146.16657053877,154.07900037127678,92.44846421248404,0.12264843383568727,0.1737895826794831,4.393299434981813,0.0692048234812667,0.11595556512729457,35.083332391432776,22161.588176922574,0.07001725515375741,8.86472800925926,0.13956518606348087
